title,content,time,trading_pair_or_currencies,price_change,cleaned_content,hash
"SEC Pushes Back Decision on 5 Solana ETFs, Approval Chances Drop for July","The US Securities and Exchange Commission (SEC) has once again deferred its decision on five Solana exchange-traded funds (ETFs), extending the regulatory review process for investment products tied to Solana (SOL).   The delay impacts the Canary Solana Trust, 21Shares Core Solana ETF, Bitwise Solana ETF, VanEck Solana ETF, and Fidelity Solana Fund. Why is the SEC Delaying Solana ETF Decisions? The SEC’s decision on 21Shares, Canary Capital, VanEck, and Bitwise’s filings was initially due on April 4. However, on March 11, the regulatory body extended its review period, giving it until May 19 to either approve or disapprove the proposals or initiate further proceedings to determine whether the rule changes should be approved
Publish Date: 2025-05-20T05:43:15Z
Currencies: SOL",2025-05-20,SOL,N/A,"The US Securities and Exchange Commission SEC has once again deferred its decision on five Solana exchangetraded funds ETFs, extending the regulatory review process for investment products tied to Solana SOL. The delay impacts the Canary Solana Trust, 21Shares Core Solana ETF, Bitwise Solana ETF, VanEck Solana ETF, and Fidelity Solana Fund. Why is the SEC Delaying Solana ETF Decisions? The SECs decision on 21Shares, Canary Capital, VanEck, and Bitwises filings was initially due on April 4. However, on March 11, the regulatory body extended its review period, giving it until May 19 to either approve or disapprove the proposals or initiate further proceedings to determine whether the rule changes should be approved Publish Date 20250520T054315Z Currencies SOL",f779f6ce10cef5eba41a6106e7307ee7
Nasdaq-Listed DigiAsia Plans to Raise $100M for Bitcoin Buys,"DigiAsia Corp (FAAS) plans to raise up to $100 million to seed a bitcoin treasury reserve (BTC), joining a growing list of publicly traded companies looking to diversify their corporate balance sheets with bitcoin.The announcement on Monday (which emphasized plans rather than executed actions) helped push DigiAsia’s shares up 91% during regular trading to 36 cents, before pulling back 22% after hours. The stock is still down more than 50% year-to-date.The company said its board had approved a strategy to allocate up to 50% of future net profits toward BTC purchases and was “actively exploring” a capital raise of up to $100 million, according to a press release
Publish Date: 2025-05-20T05:41:29Z
Currencies: BTC",2025-05-20,BTC,N/A,"DigiAsia Corp FAAS plans to raise up to 100 million to seed a bitcoin treasury reserve BTC, joining a growing list of publicly traded companies looking to diversify their corporate balance sheets with bitcoin.The announcement on Monday which emphasized plans rather than executed actions helped push DigiAsias shares up 91 during regular trading to 36 cents, before pulling back 22 after hours. The stock is still down more than 50 yeartodate.The company said its board had approved a strategy to allocate up to 50 of future net profits toward BTC purchases and was actively exploring a capital raise of up to 100 million, according to a press release Publish Date 20250520T054129Z Currencies BTC",e01f0f0741737baa4ee68936fc2f6166
Crypto industry cheers progress in ‘historic’ stablecoin legislation as Senate advances GENIUS Act,"The Senate's vote to advance the GENIUS Act is 'historic' and could help 'ensure US dollar dominance,' said senators and crypto leaders.
Publish Date: 2025-05-20T05:34:54Z
Currencies: S",2025-05-20,S,N/A,"The Senates vote to advance the GENIUS Act is historic and could help ensure US dollar dominance, said senators and crypto leaders. Publish Date 20250520T053454Z Currencies S",6dd2ac7a8ee8fe73b88dbd3e0cbbf2f4
"XRP ETF Hopes Rise After CME Futures Go Live, SEC Decision Looms","Nate Geraci, president of the ETF Store and cofounder of the ETF Institute, believes this futures milestone could be the springboard …
Publish Date: 2025-05-20T05:33:26Z
Currencies: XRP",2025-05-20,XRP,N/A,"Nate Geraci, president of the ETF Store and cofounder of the ETF Institute, believes this futures milestone could be the springboard  Publish Date 20250520T053326Z Currencies XRP",19fd65bca98274a5e0860e02e9c2ee46
"Bitcoin's Rise To $1 Million Will Make Tether The Largest Holder Of US Treasuries, Says Popular Analyst","Widely followed cryptocurrency analyst Willy Woo predicted Monday that stablecoin issuing company Tether (CRYPTO: USDT) would become the top holder of U. S. read more
Publish Date: 2025-05-20T05:31:13Z
Currencies: BTC, USDT, WOO",2025-05-20,"BTC, USDT, WOO",N/A,"Widely followed cryptocurrency analyst Willy Woo predicted Monday that stablecoin issuing company Tether CRYPTO USDT would become the top holder of U. S. read more Publish Date 20250520T053113Z Currencies BTC, USDT, WOO",6674db1d2c004165ce18dbd56233dfc5
"BlackRock’s Bitcoin ETF Holds $65 Billion, Hits $3 Billion Daily Volume Amid $7.5 Billion Crypto Fund Inflows","Global digital asset investment products have experienced a fifth consecutive week of inflows, totaling $785 million last week and bringing year-to-date inflows to $7
Publish Date: 2025-05-20T05:30:47Z
Currencies: BTC",2025-05-20,BTC,N/A,"Global digital asset investment products have experienced a fifth consecutive week of inflows, totaling 785 million last week and bringing yeartodate inflows to 7 Publish Date 20250520T053047Z Currencies BTC",9007b82423d72e27e967773837cdedbb
Stalled Stablecoin Bill Sparks Concerns Over U.S. Crypto Regulation Timeline,"Though pitched as a low-risk, bipartisan stepping stone toward digital asset legislation, the bill’s future in the Senate remains uncertain. […] The post Stalled Stablecoin Bill Sparks Concerns Over U. S.
Publish Date: 2025-05-20T05:30:40Z
Currencies: None",2025-05-20,None,N/A,"Though pitched as a lowrisk, bipartisan stepping stone toward digital asset legislation, the bills future in the Senate remains uncertain.  The post Stalled Stablecoin Bill Sparks Concerns Over U. S. Publish Date 20250520T053040Z Currencies None",ce0bd85fa56df051fd61c670553a6584
How does Arichain prove the order of transactions? Wallet Quiz,"Introduction to ARI WalletAri Wallet is an app that functions on the blockchain and was quite suddenly found to be almost immediately popular after its laun. . . Read More
Publish Date: 2025-05-20T05:30:00Z
Currencies: None",2025-05-20,None,N/A,Introduction to ARI WalletAri Wallet is an app that functions on the blockchain and was quite suddenly found to be almost immediately popular after its laun. . . Read More Publish Date 20250520T053000Z Currencies None,66d1c09a7e31bbd6aa02241c66a8d831
Senate Advances Stablecoin Bill as Tether Joins Top Treasury Holders,"The US Senate has advanced the GENIUS Act to regulate stablecoins while Tether climbed into the top global holders of US Treasurys.
Publish Date: 2025-05-20T05:30:00Z
Currencies: USDT",2025-05-20,USDT,N/A,The US Senate has advanced the GENIUS Act to regulate stablecoins while Tether climbed into the top global holders of US Treasurys. Publish Date 20250520T053000Z Currencies USDT,f91f6a0414ee9ef8a74573c5598a6075
PocketFi Listing Date Today: $SWITCH Token Price and Claim Detail,"The PocketFi crypto project is officially listing its $SWITCH token today, May 20, 2025. The token will first appear in the SWITCH/TON trading pool on Ston. Fi, a decentralized platform built on the TON blockchain. There is no confirmed launch on centralized exchange. . . Read More
Publish Date: 2025-05-20T05:30:00Z
Currencies: TON",2025-05-20,TON,N/A,"The PocketFi crypto project is officially listing its SWITCH token today, May 20, 2025. The token will first appear in the SWITCHTON trading pool on Ston. Fi, a decentralized platform built on the TON blockchain. There is no confirmed launch on centralized exchange. . . Read More Publish Date 20250520T053000Z Currencies TON",145ccc9baa1c453dba43c35127c0a324
Bitcoin Gets Nod from JPMorgan but Dimon Refuses to Custody It,"JPMorgan made a pivot in its crypto strategy, with CEO Jamie Dimon announcing the bank will now allow clients to purchase Bitcoin.
Publish Date: 2025-05-20T05:25:32Z
Currencies: BTC",2025-05-20,BTC,N/A,"JPMorgan made a pivot in its crypto strategy, with CEO Jamie Dimon announcing the bank will now allow clients to purchase Bitcoin. Publish Date 20250520T052532Z Currencies BTC",64421b15ddb4aefd038bbdb8e5c20cf6
XRP Set to Benefit as GENIUS Act Passes Key Senate Vote on Stablecoins,"If this stablecoin bill becomes law, crypto won’t just stabilize, it could explode.   Big projects like XRP and Bitcoin might rise fast, while weaker ones could …
Publish Date: 2025-05-20T05:20:39Z
Currencies: BTC, XRP",2025-05-20,"BTC, XRP",N/A,"If this stablecoin bill becomes law, crypto wont just stabilize, it could explode. Big projects like XRP and Bitcoin might rise fast, while weaker ones could  Publish Date 20250520T052039Z Currencies BTC, XRP",f7187730c767e4a99ea05c3c2a81105d
No Wonder Arctic Pablo Is Leading 2025’s Best Crypto Coin Picks: 3900% ROI Ahead Amid Official Trump and Sundog in the Spotlight,"In a crypto market bursting with noise, moonshots, and memes louder than Wall Street, three names are punching above their weight: Arctic Pablo Coin, Official Trump, and SUNDOG. If you’re searching for the best crypto coins to buy before the next bull stampede, this is your cheat sheet. Let’s dive deep into the wild worlds. . . Read more
Publish Date: 2025-05-20T05:15:00Z
Currencies: TRUMP, SUNDOG",2025-05-20,"TRUMP, SUNDOG",N/A,"In a crypto market bursting with noise, moonshots, and memes louder than Wall Street, three names are punching above their weight Arctic Pablo Coin, Official Trump, and SUNDOG. If youre searching for the best crypto coins to buy before the next bull stampede, this is your cheat sheet. Lets dive deep into the wild worlds. . . Read more Publish Date 20250520T051500Z Currencies TRUMP, SUNDOG",e685db5b825cb47306966f5bba4dbae1
Bithumb Regains Ground in South Korea’s Crypto Market Amid Upbit Dominance,"According to a Bloomberg report, Bithumb has surged to capture approximately 25% of the country’s total crypto trading volume, a significant leap from its single-digit presence in 2023. Bithumb’s Strategic Push The revival is largely credited …
Publish Date: 2025-05-20T05:14:22Z
Currencies: None",2025-05-20,None,N/A,"According to a Bloomberg report, Bithumb has surged to capture approximately 25 of the countrys total crypto trading volume, a significant leap from its singledigit presence in 2023. Bithumbs Strategic Push The revival is largely credited  Publish Date 20250520T051422Z Currencies None",c547e72011a0757bfa55b90a26072ed1
South Korea and EU Discuss Cybersecurity Cooperation Amid Rising Threats,"Foresight News, South Korea and the European Union (EU) convened the seventh Cyber Policy Council to address cooperation in the cybersecurity sector. The discussions focused on tackling escalating cyber threats, including cryptocurrency thefts attributed to North Korea. Both parties acknowledged the transnational nature of cybercrime and emphasized the necessity for international investigative collaboration, which includes rapid information sharing. They also expressed support for enhancing the cybersecurity capabilities of countries in the region.
Trading Pair: N/A
Price Change: N/A",2025-05-20,N/A,N/A,"Foresight News, South Korea and the European Union EU convened the seventh Cyber Policy Council to address cooperation in the cybersecurity sector. The discussions focused on tackling escalating cyber threats, including cryptocurrency thefts attributed to North Korea. Both parties acknowledged the transnational nature of cybercrime and emphasized the necessity for international investigative collaboration, which includes rapid information sharing. They also expressed support for enhancing the cybersecurity capabilities of countries in the region. Trading Pair NA Price Change NA",c0016bfd957b338a599df94f57c73c5b
Vanguard May Allow Bitcoin ETFs on Its Platform in Coming Years,"Odaily, Bloomberg's senior ETF analyst Eric Balchunas recently commented on the X platform that asset management giant Vanguard may never launch a Bitcoin exchange-traded fund (ETF). However, he anticipates that Vanguard might ""relax its stance"" in the next one to two years, allowing Bitcoin ETFs to be traded on its platform. This shift could occur especially if Bitcoin's price reaches $150,000 or $200,000, as the company may grow weary of constant inquiries from clients. Additionally, Vanguard's new CEO has connections with BlackRock, the parent company of IBIT.
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"Odaily, Bloombergs senior ETF analyst Eric Balchunas recently commented on the X platform that asset management giant Vanguard may never launch a Bitcoin exchangetraded fund ETF. However, he anticipates that Vanguard might relax its stance in the next one to two years, allowing Bitcoin ETFs to be traded on its platform. This shift could occur especially if Bitcoins price reaches 150,000 or 200,000, as the company may grow weary of constant inquiries from clients. Additionally, Vanguards new CEO has connections with BlackRock, the parent company of IBIT. Trading Pair BTC Price Change 2.17",e96650e11f51dd142371917dede32c14
Canaan Reports Strong Q1 2025 Financial Results Exceeding Expectations,"Foresight News, Canaan Technology has released its financial report for the first quarter of 2025, revealing total revenue of $82.78 million. This figure surpasses the previous financial forecast of $75 million and marks a 135.9% increase compared to the same period last year. The report highlights that Canaan's total sales computing power reached 5.5 million TH/s in the first quarter, representing a 62.6% year-over-year growth. Amid the overall rise in Bitcoin prices, the company's mining revenue set a quarterly record of $24.25 million, reflecting a 58.6% increase from the previous quarter and a 131.9% increase year-over-year. During this period, Canaan mined a total of 259 Bitcoins, with an average revenue of $93,466 per Bitcoin. As of March 31, 2025, Canaan held a total of 1,468.1 Bitcoins. The fair value of its cryptocurrency assets and cryptocurrency receivables amounted to $125.9 million.
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"Foresight News, Canaan Technology has released its financial report for the first quarter of 2025, revealing total revenue of 82.78 million. This figure surpasses the previous financial forecast of 75 million and marks a 135.9 increase compared to the same period last year. The report highlights that Canaans total sales computing power reached 5.5 million THs in the first quarter, representing a 62.6 yearoveryear growth. Amid the overall rise in Bitcoin prices, the companys mining revenue set a quarterly record of 24.25 million, reflecting a 58.6 increase from the previous quarter and a 131.9 increase yearoveryear. During this period, Canaan mined a total of 259 Bitcoins, with an average revenue of 93,466 per Bitcoin. As of March 31, 2025, Canaan held a total of 1,468.1 Bitcoins. The fair value of its cryptocurrency assets and cryptocurrency receivables amounted to 125.9 million. Trading Pair BTC Price Change 2.17",99cc06b6f70798f8f55df062e91ee7c2
Analyst Predicts Bitcoin Surge with S&P 500 Growth,"BlockBeats, renowned analyst PlanB shared on social media that if the S&P 500 index rises to 7000 points, Bitcoin could potentially increase to $300,000.
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"BlockBeats, renowned analyst PlanB shared on social media that if the SP 500 index rises to 7000 points, Bitcoin could potentially increase to 300,000. Trading Pair BTC Price Change 2.17",31ae022b7d49b4af69d2fa87e1193fc3
South Korea to Enhance Customer Verification for Crypto Exchanges,"PANews, the South Korean Financial Services Commission (FSC) is set to implement stricter customer verification procedures for non-profit organizations and cryptocurrency exchanges starting in June. These entities will be permitted to sell digital assets under the new regulations. To mitigate money laundering risks, cryptocurrency exchanges and banks that provide account services for crypto transactions will be required to verify the source and purpose of funds involved in transactions with non-profit organizations and other crypto exchanges. Exchanges must check the origin and intent of received cryptocurrency deposits, while banks are tasked with verifying the proceeds from cryptocurrency sales withdrawn through verified accounts.
Trading Pair: N/A
Price Change: N/A",2025-05-20,N/A,N/A,"PANews, the South Korean Financial Services Commission FSC is set to implement stricter customer verification procedures for nonprofit organizations and cryptocurrency exchanges starting in June. These entities will be permitted to sell digital assets under the new regulations. To mitigate money laundering risks, cryptocurrency exchanges and banks that provide account services for crypto transactions will be required to verify the source and purpose of funds involved in transactions with nonprofit organizations and other crypto exchanges. Exchanges must check the origin and intent of received cryptocurrency deposits, while banks are tasked with verifying the proceeds from cryptocurrency sales withdrawn through verified accounts. Trading Pair NA Price Change NA",5950371d307612a124f500ce5d822d92
"Ethereum(ETH) Drops Below 2,500 USDT with a Narrowed 3.64% Increase in 24 Hours","Binance Market Data, Ethereum has dropped below 2,500 USDT and is now trading at 2,499.01001 USDT, with a narrowed narrowed 3.64% increase in 24 hours.
Trading Pair: ETH
Price Change: +3.95%",2025-05-20,ETH,+3.95%,"Binance Market Data, Ethereum has dropped below 2,500 USDT and is now trading at 2,499.01001 USDT, with a narrowed narrowed 3.64 increase in 24 hours. Trading Pair ETH Price Change 3.95",a7d5736654e837a9ed35194f1ecc42ae
The Smarter Web Company Increases Bitcoin Holdings to 35.62 BTC,"BlockBeats, London-listed technology firm The Smarter Web Company has announced an increase in its Bitcoin holdings, acquiring an additional 16.42 BTC valued at £1.28 million, with an average price of £77,943 per Bitcoin (approximately $104,225.56). The company's total Bitcoin holdings now amount to 35.62 BTC, with a total investment of £2.69 million. The company emphasized that since 2023, it has been accepting Bitcoin payments and has integrated Bitcoin into the core of its financial strategy.
Trading Pair: N/A
Price Change: N/A",2025-05-20,N/A,N/A,"BlockBeats, Londonlisted technology firm The Smarter Web Company has announced an increase in its Bitcoin holdings, acquiring an additional 16.42 BTC valued at 1.28 million, with an average price of 77,943 per Bitcoin approximately 104,225.56. The companys total Bitcoin holdings now amount to 35.62 BTC, with a total investment of 2.69 million. The company emphasized that since 2023, it has been accepting Bitcoin payments and has integrated Bitcoin into the core of its financial strategy. Trading Pair NA Price Change NA",4518ad697c2626c13b7d1858190996e9
Indian Supreme Court Questions Government's Cryptocurrency Regulation,"Foresight News, the Indian Supreme Court has raised concerns about the government's inadequate regulation of cryptocurrencies. The court highlighted the absence of a clear legal framework, which has led to Bitcoin transactions being viewed as informal and illegal cross-border fund transfers. Judges reminded the federal government that approximately two years ago, the Supreme Court had sought clarity on India's virtual currency policy. The judges emphasized that a complete ban on cryptocurrencies is not advisable, but some form of regulation is necessary. They noted that Bitcoin profits are subject to a 30% tax, indicating a degree of legal recognition for cryptocurrencies. The court argued that if taxation is imposed, then proper regulation should logically follow.
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"Foresight News, the Indian Supreme Court has raised concerns about the governments inadequate regulation of cryptocurrencies. The court highlighted the absence of a clear legal framework, which has led to Bitcoin transactions being viewed as informal and illegal crossborder fund transfers. Judges reminded the federal government that approximately two years ago, the Supreme Court had sought clarity on Indias virtual currency policy. The judges emphasized that a complete ban on cryptocurrencies is not advisable, but some form of regulation is necessary. They noted that Bitcoin profits are subject to a 30 tax, indicating a degree of legal recognition for cryptocurrencies. The court argued that if taxation is imposed, then proper regulation should logically follow. Trading Pair BTC Price Change 2.17",f86b84cd949ebc5eb34313cb544d3a69
"Binance Market Update: Crypto Market Trends | May 20, 2025","CoinMarketCap data, the global cryptocurrency market cap now stands at $3.32T, up by 2.08% over the last day.Bitcoin (BTC) traded between $102,126 and $106,853 over the past 24 hours. As of 09:30 AM (UTC) today, BTC is trading at $105,317, up by 2.01%.Most major cryptocurrencies by market cap are trading higher. Market outperformers include WCT, AAVE, and MASK, up by 22%, 20%, and 19%, respectively.Top stories of the day:GENIUS Act Passes with Significant MajorityJPMorgan CEO Jamie Dimon Allows Bitcoin Purchases Without Custody ServicesTexas Bitcoin Reserve Bill Advances to Second Reading in HouseGENIUS Act's Potential Impact on Ethereum and Other CryptocurrenciesBank of Japan's Bond Holdings Reach Record HighEconomic Uncertainty Persists Amid Tariff Concerns, Says Fed's KashkariBitcoin Poised for Significant Growth in 2025, Says 21SharesBitcoin Market Shows No Signs of Overheating, Analyst SaysCircle and BlackRock Forge Strategic Partnership for Stablecoin ReservesSEC Delays Review of VanEck Spot Solana ETFMarket movers:ETH: $2528.69 (+5.00%)XRP: $2.3476 (+1.44%)BNB: $647.24 (+1.10%)SOL: $167.49 (+3.25%)DOGE: $0.2213 (+1.81%)ADA: $0.7332 (+1.28%)TRX: $0.273 (+3.92%)WBTC: $105197.48 (+2.00%)TRUMP: $12.82 (+1.99%)SUI: $3.8523 (+4.56%)
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"CoinMarketCap data, the global cryptocurrency market cap now stands at 3.32T, up by 2.08 over the last day.Bitcoin BTC traded between 102,126 and 106,853 over the past 24 hours. As of 0930 AM UTC today, BTC is trading at 105,317, up by 2.01.Most major cryptocurrencies by market cap are trading higher. Market outperformers include WCT, AAVE, and MASK, up by 22, 20, and 19, respectively.Top stories of the dayGENIUS Act Passes with Significant MajorityJPMorgan CEO Jamie Dimon Allows Bitcoin Purchases Without Custody ServicesTexas Bitcoin Reserve Bill Advances to Second Reading in HouseGENIUS Acts Potential Impact on Ethereum and Other CryptocurrenciesBank of Japans Bond Holdings Reach Record HighEconomic Uncertainty Persists Amid Tariff Concerns, Says Feds KashkariBitcoin Poised for Significant Growth in 2025, Says 21SharesBitcoin Market Shows No Signs of Overheating, Analyst SaysCircle and BlackRock Forge Strategic Partnership for Stablecoin ReservesSEC Delays Review of VanEck Spot Solana ETFMarket moversETH 2528.69 5.00XRP 2.3476 1.44BNB 647.24 1.10SOL 167.49 3.25DOGE 0.2213 1.81ADA 0.7332 1.28TRX 0.273 3.92WBTC 105197.48 2.00TRUMP 12.82 1.99SUI 3.8523 4.56 Trading Pair BTC Price Change 2.17",8acf384a56076d9e0cb82a7ed0c03340
"Bitcoin Market Shows No Signs of Overheating, Analyst Says","Odaily, CryptoQuant analyst Avocado has indicated that Bitcoin's recent rebound lacks signs of overheating, suggesting the market remains in a healthy bull phase. Avocado noted that the current buying sentiment supports further price increases, implying that it is not yet time to consider exiting the market.
Trading Pair: BTC
Price Change: +2.17%",2025-05-20,BTC,+2.17%,"Odaily, CryptoQuant analyst Avocado has indicated that Bitcoins recent rebound lacks signs of overheating, suggesting the market remains in a healthy bull phase. Avocado noted that the current buying sentiment supports further price increases, implying that it is not yet time to consider exiting the market. Trading Pair BTC Price Change 2.17",a40465edac1f98df02d0271d443002cb
Binance to Launch Merlin Trading Competition with MERL Token Rewards,"Binance's official announcement, Binance Wallet is set to introduce the Merlin Trading Competition on Binance Alpha. This event will allow participants to trade MERL tokens and share exclusive rewards. The competition is scheduled to run from 2025-05-20 09:00 (UTC) to 2025-06-03 09:00 (UTC). Participants will be ranked based on their total purchase volume of MERL tokens during this period. The top 10,000 users will equally share a pool of 9,840,000 MERL tokens, translating to 984 MERL per user. **Eligibility and Participation**- Only trades executed via Binance Wallet (Keyless) or Binance Alpha will qualify for this promotion.- Third-party dApp transactions and sell volumes are excluded.- There is no cap on the trading volume for each participant.- Transactions related to bridging of tokens are not eligible. To participate, users must update their Binance App to the latest version, create a Binance Wallet (Keyless), and back it up. During the promotion, trading MERL on Binance Wallet (Keyless) or Binance Alpha is required. Rankings will be automatically calculated after the promotion ends, and eligible winners will receive their rewards in their Binance Alpha accounts. **Terms and Conditions**Participants must agree to the Activity Terms, which include Binance's Terms and Conditions for Prize Promotions, Terms of Use, and Privacy Policy. Only users from qualified regions who complete account verification (KYC) and hold an active Binance Wallet are eligible. Users are responsible for complying with any regional restrictions regarding Binance services. Rewards will be distributed in MERL tokens by 2025-06-17 16:00:00 (UTC) and can be checked in Binance Alpha accounts or Binance Wallet (Keyless). Binance reserves the right to disqualify users involved in dishonest behavior, such as wash trading or market manipulation. The company also retains the right to amend or cancel the activity without prior notice. Users are advised to refer to the original English version of the announcement for the most accurate information.
Trading Pair: MERL
Price Change: -10.87%",2025-05-20,MERL,-10.87%,"Binances official announcement, Binance Wallet is set to introduce the Merlin Trading Competition on Binance Alpha. This event will allow participants to trade MERL tokens and share exclusive rewards. The competition is scheduled to run from 20250520 0900 UTC to 20250603 0900 UTC. Participants will be ranked based on their total purchase volume of MERL tokens during this period. The top 10,000 users will equally share a pool of 9,840,000 MERL tokens, translating to 984 MERL per user. Eligibility and Participation Only trades executed via Binance Wallet Keyless or Binance Alpha will qualify for this promotion. Thirdparty dApp transactions and sell volumes are excluded. There is no cap on the trading volume for each participant. Transactions related to bridging of tokens are not eligible. To participate, users must update their Binance App to the latest version, create a Binance Wallet Keyless, and back it up. During the promotion, trading MERL on Binance Wallet Keyless or Binance Alpha is required. Rankings will be automatically calculated after the promotion ends, and eligible winners will receive their rewards in their Binance Alpha accounts. Terms and ConditionsParticipants must agree to the Activity Terms, which include Binances Terms and Conditions for Prize Promotions, Terms of Use, and Privacy Policy. Only users from qualified regions who complete account verification KYC and hold an active Binance Wallet are eligible. Users are responsible for complying with any regional restrictions regarding Binance services. Rewards will be distributed in MERL tokens by 20250617 160000 UTC and can be checked in Binance Alpha accounts or Binance Wallet Keyless. Binance reserves the right to disqualify users involved in dishonest behavior, such as wash trading or market manipulation. The company also retains the right to amend or cancel the activity without prior notice. Users are advised to refer to the original English version of the announcement for the most accurate information. Trading Pair MERL Price Change 10.87",ed3cef522114543c27d3275c136700b9
Texas Bitcoin Reserve Bill Advances to Second Reading in House,"BlockBeats, the Bitcoin Reserve Bill in Texas is set for its second reading in the House today. If the bill passes this stage, it will proceed to a third reading for a final vote in the House. Following approval, it will be sent to the Senate, where the process will be repeated. Should there be discrepancies between the House and Senate versions, adjustments will be made before the bill is presented to the governor for signing into law.
Trading Pair: BTC
Price Change: +2.16%",2025-05-20,BTC,+2.16%,"BlockBeats, the Bitcoin Reserve Bill in Texas is set for its second reading in the House today. If the bill passes this stage, it will proceed to a third reading for a final vote in the House. Following approval, it will be sent to the Senate, where the process will be repeated. Should there be discrepancies between the House and Senate versions, adjustments will be made before the bill is presented to the governor for signing into law. Trading Pair BTC Price Change 2.16",7169e694f7e9dec94d8cd6148f2b98bf
Global Contract Trading Volume Reaches $305.47 Billion,"Odaily, data from Coinglass indicates that as of May 19, the total global contract trading volume amounted to $305.47 billion, with total open interest standing at $142.036 billion. Comparatively, on January 19 of this year, the peak for total open interest was $150.615 billion, while on February 4, the highest total trading volume reached $563.018 billion.
Trading Pair: N/A
Price Change: N/A",2025-05-20,N/A,N/A,"Odaily, data from Coinglass indicates that as of May 19, the total global contract trading volume amounted to 305.47 billion, with total open interest standing at 142.036 billion. Comparatively, on January 19 of this year, the peak for total open interest was 150.615 billion, while on February 4, the highest total trading volume reached 563.018 billion. Trading Pair NA Price Change NA",973ddbafc36a76f5bd661386e2a927dd
Circle and BlackRock Forge Strategic Partnership for Stablecoin Reserves,"PANews, Circle has entered into a new memorandum of understanding with BlackRock, signed in March 2025, designating BlackRock as the preferred partner for managing Circle's stablecoin reserves. The agreement stipulates that BlackRock will oversee at least 90% of Circle's dollar custody reserves, excluding bank deposits, while committing not to issue a competing dollar payment stablecoin. This partnership is set to last for four years, reinforcing Circle's strategic approach to stablecoin management.
Trading Pair: USDC
Price Change: -0.02%",2025-05-20,USDC,-0.02%,"PANews, Circle has entered into a new memorandum of understanding with BlackRock, signed in March 2025, designating BlackRock as the preferred partner for managing Circles stablecoin reserves. The agreement stipulates that BlackRock will oversee at least 90 of Circles dollar custody reserves, excluding bank deposits, while committing not to issue a competing dollar payment stablecoin. This partnership is set to last for four years, reinforcing Circles strategic approach to stablecoin management. Trading Pair USDC Price Change 0.02",467e377b5196b6d2dbd6dc6f6654efc6
Powell Reiterates Concerns Over U.S. Fiscal Path Amid Debt Challenges,"BlockBeats, Federal Reserve Chairman Jerome Powell has consistently highlighted the unsustainable nature of the United States' fiscal trajectory over the past seven years. Despite the Federal Reserve's lack of authority in setting fiscal policy, Powell has repeatedly addressed the federal deficit issue, emphasizing its long-term economic impact. In a 2018 press conference, shortly after assuming his role, Powell stated, ""We are on an unsustainable fiscal path, and this reality must be confronted sooner rather than later."" His stance remains unchanged, as evidenced by his recent warnings on April 16 about maintaining significant deficits during full employment, urging for solutions. On May 7, Powell reiterated that the national debt is on an unsustainable path, urging Congress to take corrective measures, while clarifying that it is not the Federal Reserve's place to offer specific recommendations. The urgency of the fiscal crisis intensified after Moody's downgraded the U.S. AAA rating last Friday. The agency warned that extending the 2017 tax cuts, as favored by Republicans, could increase the deficit by $4 trillion over the next decade. Powell and U.S. President Donald Trump have also differed on interest rate policies. Trump has recently pushed for rate cuts, while the Federal Reserve has maintained the benchmark rate at 4.25%-4.5% this month. The market anticipates two rate cuts later this year, starting in September. Powell's term as chairman is set to conclude in May next year, although his position as a board member will continue until January 2028.
Trading Pair: N/A
Price Change: N/A",2025-05-20,N/A,N/A,"BlockBeats, Federal Reserve Chairman Jerome Powell has consistently highlighted the unsustainable nature of the United States fiscal trajectory over the past seven years. Despite the Federal Reserves lack of authority in setting fiscal policy, Powell has repeatedly addressed the federal deficit issue, emphasizing its longterm economic impact. In a 2018 press conference, shortly after assuming his role, Powell stated, We are on an unsustainable fiscal path, and this reality must be confronted sooner rather than later. His stance remains unchanged, as evidenced by his recent warnings on April 16 about maintaining significant deficits during full employment, urging for solutions. On May 7, Powell reiterated that the national debt is on an unsustainable path, urging Congress to take corrective measures, while clarifying that it is not the Federal Reserves place to offer specific recommendations. The urgency of the fiscal crisis intensified after Moodys downgraded the U.S. AAA rating last Friday. The agency warned that extending the 2017 tax cuts, as favored by Republicans, could increase the deficit by 4 trillion over the next decade. Powell and U.S. President Donald Trump have also differed on interest rate policies. Trump has recently pushed for rate cuts, while the Federal Reserve has maintained the benchmark rate at 4.254.5 this month. The market anticipates two rate cuts later this year, starting in September. Powells term as chairman is set to conclude in May next year, although his position as a board member will continue until January 2028. Trading Pair NA Price Change NA",521c2547e7a84b25105ca5c0aba288fe
